Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
q-QEwZi32JCnjb7zbY-PQw,Soogil,108 E 4th St,"{'latitude': 40.72551, 'longitude': -73.98838}",117,4.0,10003
l7RpTuovYPl2GsJiopIaBg,BarKogi Korean Fried Chicken,957 2nd Ave,"{'latitude': 40.7554222, 'longitude': -73.9684579}",665,2.5,10022
_7jEITBmNIMD73_ni89MaQ,KPOT Korean BBQ & Hot Pot,414 Grand St,"{'latitude': 40.71834, 'longitude': -74.0529}",137,4.0,07302
w-GSdTRGTE44AN9D2uTLWw,Momo 97,1396 Madison Ave,"{'latitude': 40.787888, 'longitude': -73.954046}",30,4.0,10029
1Ed-tb_0dBGrXfsYyehmvg,Momofuku 207,207 2nd Ave,"{'latitude': 40.731666, 'longitude': -73.985712}",2431,4.0,10003
1ozuYD1HTa4u2F_NR9uUJg,Gomi Korean Wine Bar,186 Ave A,"{'latitude': 40.72886, 'longitude': -73.9813}",132,4.5,10009
IwmUnAhFgDfu6zgYxhbXJA,Mad For Chicken - Forest Hills,71-37 Austin St,"{'latitude': 40.71981, 'longitude': -73.8433}",23,4.5,11375
KaBw8UEm8uZTV6YLsshYrQ,Pocha 32,15 W 32nd St,"{'latitude': 40.747524574399, 'longitude': -73.9862626791}",1508,3.5,10001
uJJGpuvwCComknuHj8AKbQ,Chung Ki Wa Restaurant,4006 74th St,"{'latitude': 40.746494, 'longitude': -73.891639}",192,3.5,11373
ZHPp0z9Tr6qfjj2wCleLWw,HYUN,10 E 33rd St,"{'latitude': 40.747279, 'longitude': -73.984544}",120,3.5,10016
SwydWCzIZ_bSp-8HeM4DTA,GoGo-Gi,3908 Broadway,"{'latitude': 40.83794, 'longitude': -73.94171}",188,4.0,10032
BWDtEFmrLyUyT2-oUrY2bw,O2 BBQ,7000 Kennedy Blvd E,"{'latitude': 40.790165, 'longitude': -74.000752}",148,4.0,07093
oI-7XNSVyM0T82LyIGLIxw,Sayori Japanese Restaurant,1440 Forest Ave,"{'latitude': 40.62422, 'longitude': -74.13663}",54,4.0,10302
kqZchP64In2gtYd3Xq-i-A,Pelicana Chicken,641 10th Ave,"{'latitude': 40.7619, 'longitude': -73.994188}",22,4.5,10036
3GYAtJo-YgEQpFDQBX0dJg,The Kunjip,32 W 32nd St,"{'latitude': 40.747641, 'longitude': -73.987239}",1007,2.5,10001
HDoJIH-qW9FqJ5WB-bKTqA,MIGHTY Bowl,1109 Lexington Ave,"{'latitude': 40.7738, 'longitude': -73.95945}",101,4.5,10075
YvL7_ZXp-VAhrOCy1mb-cQ,BBQ Olive Chicken,25 W 32nd St,"{'latitude': 40.74783, 'longitude': -73.98685}",744,3.5,10001
PjF1dqCskf3T8jH2gA66JA,Pelicana Chicken,52 East 8th St,"{'latitude': 40.73102, 'longitude': -73.99373}",71,4.0,10003
iPc-zPgcpgeSo76xl5Jbpw,The Maze,32 W 32nd St,"{'latitude': 40.747846, 'longitude': -73.9872499}",476,4.0,10001
oAWL-_vzb9cqt--EQVIAGA,Gossip House,147-46 Northern Blvd,"{'latitude': 40.765195445126, 'longitude': -73.8175190780554}",147,4.5,11354
WqLIjGVGynMS-vHRVDYjIg,Drunken Chicken,25-30 Broadway,"{'latitude': 40.76271, 'longitude': -73.92757}",128,4.0,11106
eIPiRkf6KCo9A9Ok-Nr_ow,Miss KOREA BBQ,10 W 32nd St,"{'latitude': 40.747452, 'longitude': -73.986336}",1806,3.5,10001
0F4k2gAYOVYo5RQwkF3Brw,SGD Tofu House,149-06 41st Ave,"{'latitude': 40.76191, 'longitude': -73.81541}",201,4.0,11355
vMTJsNMw5JtrLoN1cilFzQ,Jang Dok Dae,172-14 46 Ave,"{'latitude': 40.753057, 'longitude': -73.792863}",22,5.0,11358
_1LUC6gT1ckfiG3LyMfolw,Chung Moo Rollrice & Dongas,39-04 Union St,"{'latitude': 40.7609309256077, 'longitude': -73.8268536329269}",175,4.0,11354
LeaMwZ8W2wmw6ZmVPnCLAg,The Cast Iron Pot 3,157-26 Northern Blvd,"{'latitude': 40.763328, 'longitude': -73.8076273}",280,4.0,11354
_FAh31lob7Dnn4iGiLIwng,MUI,10 W 32nd St,"{'latitude': 40.74732, 'longitude': -73.98646}",259,4.0,10001
46GnKuRv1SKz78CWgdc8SQ,Goo Gong Tan,40-09 149th Pl,"{'latitude': 40.76318, 'longitude': -73.81492}",112,4.0,11354
Lm8_nGWG8CJM6PZYzZzvug,Pelicana Chicken,11 W 32nd St,"{'latitude': 40.7477351, 'longitude': -73.986215}",261,4.0,10001
YzTbJbNq-pxoaRZocFrnAA,Doshirak Box,136-31 Roosevelt Ave,"{'latitude': 40.76019, 'longitude': -73.8291}",39,4.5,11354
gl1p0g_BN_DC4Eh_hRaUEg,Joong Koog Jip,149-08 41st Ave,"{'latitude': 40.76194966092599, 'longitude': -73.8153339}",224,4.0,11355
SO9Y_SN8voOB3uU4ausRog,Korilla BBQ,672 Lexington Ave,"{'latitude': 40.7647655944894, 'longitude': -73.9822647110451}",495,4.0,10019
XgNDhlefDhJ3TimoYrNlaQ,Gahwa Korean Restaurant,29-32 Union St,"{'latitude': 40.7713025, 'longitude': -73.8267556}",139,4.0,11354
v--4s91RgyWUdWvMH2QZHw,Han Joo Chik Naeng Myun & BBQ,41-06 149th Pl,"{'latitude': 40.7620607, 'longitude': -73.8148621}",223,4.0,11355
a2lxW_gOpLujZhiQMEYhZg,Marrizzang,42-37 162nd St,"{'latitude': 40.7591, 'longitude': -73.80387}",44,4.5,11358
VwSxF9Ron5y0PIXTtGrqkQ,Gopchang Story Flushing,160-18 Northern Blvd,"{'latitude': 40.762706, 'longitude': -73.8053579}",141,4.0,11358
